#平水韻韻目,廣韻韻目
上平1東	東
上平2冬	冬鍾
上平3江	江
上平4支	支脂之
上平5微	微
上平6魚	魚
上平7虞	虞模
上平8齊	齊
上平9佳	佳皆
上平10灰	灰咍
上平11眞	眞諄臻
上平12文	文欣
上平13元	元魂痕
上平14寒	寒桓
上平15刪	刪山
下平1先	先仙
下平2蕭	蕭宵
下平3肴	肴
下平4豪	豪
下平5歌	歌戈
下平6麻	麻
下平7陽	陽唐
下平8庚	庚耕清
下平9青	青
下平10蒸	蒸登
下平11尤	尤侯幽
下平12侵	侵
下平13覃	覃談
下平14鹽	鹽添
下平15咸	咸銜嚴凡
上声1董	董
上声2腫	湩腫
上声3講	講
上声4紙	紙旨止
上声5尾	尾
上声6語	語
上声7麌	麌姥
上声8薺	薺
上声9蟹	蟹駭
上声10賄	賄海
上声11軫	軫準齔
上声12吻	吻隱
上声13阮	阮混很
上声14旱	旱緩
上声15潸	潸産
上声16銑	銑獮
上声17篠	篠小
上声18巧	巧
上声19皓	晧	#廣韻作晧，但平水韻一般作皓
上声20哿	哿果
上声21馬	馬
上声22養	養蕩
上声23梗	梗耿靜
上声24迥	迥拯等
上声25有	有厚黝
上声26寢	寑	#廣韻作寑，但平水韻一般作寢
上声27感	感敢
上声28琰	琰忝儼
上声29豏	豏檻范
去声1送	送
去声2宋	宋用
去声3絳	絳
去声4寘	寘至志
去声5未	未
去声6御	御
去声7遇	遇暮
去声8霽	霽祭
去声9泰	泰
去声10卦	卦怪夬
去声11隊	隊代廢
去声12震	震稕櫬
去声13問	問焮
去声14願	願慁恨
去声15翰	翰換
去声16諫	諫襉
去声17霰	霰線
去声18嘯	嘯笑
去声19效	效
去声20號	号	#廣韻作号，但平水韻一般作號
去声21箇	箇過
去声22禡	禡
去声23漾	漾宕
去声24敬	映諍勁	#廣韻韻目爲映，但平水韻韻目爲敬
去声25徑	徑證嶝
去声26宥	宥候幼
去声27沁	沁
去声28勘	勘闞
去声29豔	豔㮇釅
去声30陷	陷鑑梵
入声1屋	屋
入声2沃	沃燭
入声3覺	覺
入声4質	質術櫛
入声5物	物迄
入声6月	月沒麧
入声7曷	曷末
入声8黠	黠鎋
入声9屑	屑薛
入声10藥	藥鐸
入声11陌	陌麥昔
入声12錫	錫
入声13職	職德
入声14緝	緝
入声15合	合盍
入声16葉	葉怗
入声17洽	洽狎業乏
