#注音符號,聲母或韻母,整體認讀音節
ㄅ	b
ㄆ	p
ㄇ	m	m
ㄈ	f
ㄉ	d
ㄊ	t
ㄋ	n	n
ㄌ	l
ㄍ	g
ㄎ	k
ㄏ	h
ㄐ	j
ㄑ	q
ㄒ	x
ㄓ	zh	zhi
ㄔ	ch	chi
ㄕ	sh	shi
ㄖ	r	ri
ㄗ	z	zi
ㄘ	c	ci
ㄙ	s	si
ㄫ	ng    ng
ㄚ	a	a
ㄛ	o	o
ㄜ	e	e
ㄧ	i	yi
ㄨ	u	wu
ㄩ	v	yu
ㄞ	ai	ai
ㄟ	ei	ei
ㄠ	ao	ao
ㄡ	ou	ou
ㄢ	an	an
ㄣ	en	en
ㄤ	ang	ang
ㄥ	eng	eng
ㄦ	er	er
ㄧㄚ	ia	ya
ㄧㄛ	io	yo
ㄧㄝ	ie	ye
ㄧㄠ	iao	yao
ㄧㄡ	iu	you
ㄧㄢ	ian	yan
ㄧㄣ	in	yin
ㄧㄤ	iang	yang
ㄧㄥ	ing	ying
ㄨㄚ	ua	wa
ㄨㄛ	uo	wo
ㄨㄞ	uai	wai
ㄨㄟ	ui	wei
ㄨㄢ	uan	wan
ㄨㄣ	un	wen
ㄨㄤ	uang	wang
ㄨㄥ	ong	weng
ㄩㄝ	ve	yue
ㄩㄢ	van	yuan
ㄩㄣ	vn	yun
ㄩㄥ	iong	yong
ˊ	2
ˇ	3
ˋ	4
˙	_
